"","Location","Source","Indicator","Case_definition","Week","Cases","Epi_Week"
"40","FARANAH","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"41","FORECARIAH","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"42","FORECARIAH","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"43","FORECARIAH","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"44","FORECARIAH","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"45","FRIA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"46","FRIA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"47","FRIA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"48","FRIA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"49","GAOUAL","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"50","GAOUAL","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"51","GAOUAL","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"52","GAOUAL","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"53","GUECKEDOU","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"54","GUECKEDOU","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"55","GUECKEDOU","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"56","GUECKEDOU","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",2," 2014-W01 "
"57","KANKAN","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"58","KANKAN","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"59","KANKAN","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"60","KANKAN","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"61","KEROUANE","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"62","KEROUANE","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"63","KEROUANE","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"64","KEROUANE","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"65","KINDIA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"66","KINDIA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"67","KINDIA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"68","KINDIA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"69","KISSIDOUGOU","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"70","KISSIDOUGOU","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"71","KISSIDOUGOU","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"72","KISSIDOUGOU","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"73","KOUBIA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"74","KOUBIA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"75","KOUBIA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"76","KOUBIA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"77","KOUNDARA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"78","KOUNDARA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"79","KOUNDARA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"80","KOUNDARA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"81","KOUROUSSA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"82","KOUROUSSA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"83","KOUROUSSA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"84","KOUROUSSA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"85","LABE","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"86","LABE","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"87","LABE","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"88","LABE","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"89","LELOUMA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"90","LELOUMA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"91","LELOUMA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"92","LELOUMA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"93","LOLA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"94","LOLA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"95","LOLA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"96","LOLA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"97","MACENTA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"98","MACENTA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"99","MACENTA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"100","MACENTA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"101","MALI","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"102","MALI","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"103","MALI","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"104","MALI","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"105","MAMOU","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"106","MAMOU","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"107","MAMOU","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"108","MAMOU","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"109","N'ZEREKORE","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"110","N'ZEREKORE","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"111","N'ZEREKORE","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"112","N'ZEREKORE","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"113","PITA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"114","PITA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"115","PITA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"116","PITA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"117","SIGUIRI","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"118","SIGUIRI","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"119","SIGUIRI","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"120","SIGUIRI","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"121","TELIMELE","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"122","TELIMELE","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"123","TELIMELE","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"124","TELIMELE","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"125","TOUGUE","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"126","TOUGUE","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"127","TOUGUE","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"128","TOUGUE","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"129","YOMOU","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"130","YOMOU","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"131","YOMOU","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"132","YOMOU","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"133","BEYLA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"134","BEYLA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"135","BEYLA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"136","BEYLA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"137","BOFFA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"138","BOFFA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"139","BOFFA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"140","BOFFA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"141","BOKE","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"142","BOKE","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"143","BOKE","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"144","BOKE","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"145","CONAKRY","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"146","CONAKRY","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"147","CONAKRY","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"148","CONAKRY","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"149","COYAH","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"150","COYAH","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"151","COYAH","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"152","COYAH","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"153","DABOLA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"154","DABOLA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"155","DABOLA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"156","DABOLA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"157","DALABA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"158","DALABA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"159","DALABA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"160","DALABA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"161","DINGUIRAYE","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"162","DINGUIRAYE","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"163","DINGUIRAYE","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"164","DINGUIRAYE","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"165","DUBREKA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"166","DUBREKA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"167","DUBREKA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"168","DUBREKA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"169","FARANAH","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"170","FARANAH","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"171","FARANAH","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"172","FARANAH","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"173","FORECARIAH","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"174","FORECARIAH","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"175","FORECARIAH","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"176","FORECARIAH","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"177","FRIA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"178","FRIA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"179","FRIA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"180","FRIA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"181","GAOUAL","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"182","GAOUAL","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"183","GAOUAL","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"184","GAOUAL","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"185","GUECKEDOU","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"186","GUECKEDOU","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"187","GUECKEDOU","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"188","GUECKEDOU","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"189","KANKAN","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"190","KANKAN","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"191","KANKAN","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"192","KANKAN","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"193","KEROUANE","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"194","KEROUANE","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"195","KEROUANE","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"196","KEROUANE","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"197","KINDIA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"198","KINDIA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"199","KINDIA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"200","KINDIA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"201","KISSIDOUGOU","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"202","KISSIDOUGOU","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"203","KISSIDOUGOU","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"204","KISSIDOUGOU","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"205","KOUBIA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"206","KOUBIA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"207","KOUBIA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"208","KOUBIA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"209","KOUNDARA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"210","KOUNDARA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"211","KOUNDARA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"212","KOUNDARA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"213","KOUROUSSA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"214","KOUROUSSA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"215","KOUROUSSA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"216","KOUROUSSA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"217","LABE","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"218","LABE","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"219","LABE","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"220","LABE","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"221","LELOUMA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"222","LELOUMA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"223","LELOUMA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"224","LELOUMA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"225","LOLA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"226","LOLA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"227","LOLA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"228","LOLA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"229","MACENTA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"230","MACENTA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"231","MACENTA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"232","MACENTA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"233","MALI","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"234","MALI","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"235","MALI","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"236","MALI","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"237","MAMOU","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"238","MAMOU","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"239","MAMOU","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"240","MAMOU","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"241","N'ZEREKORE","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"242","N'ZEREKORE","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"243","N'ZEREKORE","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"244","N'ZEREKORE","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"245","PITA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"246","PITA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"247","PITA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"248","PITA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"249","SIGUIRI","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"250","SIGUIRI","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"251","SIGUIRI","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"252","SIGUIRI","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",0," 2014-W02 "
"253","TELIMELE","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"254","TELIMELE","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
