"","Location","Source","Indicator","Case_definition","Week","Cases","Epi_Week"
"92","LOFA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"93","MARGIBI","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"94","MARGIBI","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"95","MARGIBI","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"96","MARGIBI","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"97","MARYLAND","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"98","MARYLAND","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"99","MARYLAND","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"100","MARYLAND","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"101","MONTSERRADO","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"102","MONTSERRADO","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"103","MONTSERRADO","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"104","MONTSERRADO","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"105","NIMBA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"106","NIMBA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"107","NIMBA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"108","NIMBA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"109","RIVER GEE","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"110","RIVER GEE","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"111","RIVER GEE","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"112","RIVER GEE","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"113","RIVERCESS","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"114","RIVERCESS","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"115","RIVERCESS","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"116","RIVERCESS","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"117","SINOE","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"118","SINOE","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"119","SINOE","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"120","SINOE","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"121","BOMI","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"122","BOMI","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"123","BOMI","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"124","BOMI","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"125","BONG","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"126","BONG","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"127","BONG","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"128","BONG","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"129","GBARPOLU","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"130","GBARPOLU","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"131","GBARPOLU","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"132","GBARPOLU","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"133","GRAND BASSA","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"134","GRAND BASSA","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"135","GRAND BASSA","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"136","GRAND BASSA","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"137","GRAND CAPE MOUNT","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"138","GRAND CAPE MOUNT","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"139","GRAND CAPE MOUNT","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"140","GRAND CAPE MOUNT","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"141","GRAND GEDEH","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"142","GRAND GEDEH","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"143","GRAND GEDEH","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"144","GRAND GEDEH","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"145","GRAND KRU","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"146","GRAND KRU","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"147","GRAND KRU","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"148","GRAND KRU","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"149","LOFA","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"150","LOFA","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"151","LOFA","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"152","LOFA","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"153","MARGIBI","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"154","MARGIBI","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"155","MARGIBI","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"156","MARGIBI","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"157","MARYLAND","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"158","MARYLAND","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"159","MARYLAND","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"160","MARYLAND","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"161","MONTSERRADO","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"162","MONTSERRADO","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"163","MONTSERRADO","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"164","MONTSERRADO","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"165","NIMBA","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"166","NIMBA","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"167","NIMBA","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"168","NIMBA","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"169","RIVER GEE","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"170","RIVER GEE","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"171","RIVER GEE","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"172","RIVER GEE","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"173","RIVERCESS","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"174","RIVERCESS","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"175","RIVERCESS","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"176","RIVERCESS","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"177","SINOE","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"178","SINOE","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"179","SINOE","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"180","SINOE","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"181","BOMI","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"182","BOMI","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"183","BOMI","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"184","BOMI","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"185","BONG","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"186","BONG","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"187","BONG","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"188","BONG","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"189","GBARPOLU","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"190","GBARPOLU","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"191","GBARPOLU","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"192","GBARPOLU","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"193","GRAND BASSA","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"194","GRAND BASSA","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"195","GRAND BASSA","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"196","GRAND BASSA","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"197","GRAND CAPE MOUNT","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"198","GRAND CAPE MOUNT","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"199","GRAND CAPE MOUNT","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"200","GRAND CAPE MOUNT","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"201","GRAND GEDEH","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"202","GRAND GEDEH","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"203","GRAND GEDEH","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"204","GRAND GEDEH","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"205","GRAND KRU","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"206","GRAND KRU","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"207","GRAND KRU","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"208","GRAND KRU","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"209","LOFA","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"210","LOFA","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"211","LOFA","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"212","LOFA","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"213","MARGIBI","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"214","MARGIBI","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"215","MARGIBI","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"216","MARGIBI","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"217","MARYLAND","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"218","MARYLAND","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"219","MARYLAND","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"220","MARYLAND","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"221","MONTSERRADO","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"222","MONTSERRADO","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"223","MONTSERRADO","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"224","MONTSERRADO","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"225","NIMBA","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"226","NIMBA","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"227","NIMBA","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"228","NIMBA","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"229","RIVER GEE","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"230","RIVER GEE","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"231","RIVER GEE","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"232","RIVER GEE","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"233","RIVERCESS","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"234","RIVERCESS","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"235","RIVERCESS","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"236","RIVERCESS","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"237","SINOE","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"238","SINOE","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"239","SINOE","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"240","SINOE","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"241","BOMI","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"242","BOMI","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"243","BOMI","Patient database","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"244","BOMI","Patient database","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"245","BONG","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"246","BONG","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"247","BONG","Patient database","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"248","BONG","Patient database","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"249","GBARPOLU","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"250","GBARPOLU","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"251","GBARPOLU","Patient database","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"252","GBARPOLU","Patient database","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"253","GRAND BASSA","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"254","GRAND BASSA","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
