"","Location","Source","Indicator","Case_definition","Week","Cases","Epi_Week"
"30","KONO","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"31","KONO","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"32","KONO","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"33","MOYAMBA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"34","MOYAMBA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"35","MOYAMBA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"36","MOYAMBA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"37","PORT LOKO","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"38","PORT LOKO","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"39","PORT LOKO","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"40","PORT LOKO","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"41","PUJEHUN","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"42","PUJEHUN","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"43","PUJEHUN","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"44","PUJEHUN","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"45","TONKOLILI","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"46","TONKOLILI","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"47","TONKOLILI","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"48","TONKOLILI","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"49","WESTERN AREA RURAL","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"50","WESTERN AREA RURAL","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"51","WESTERN AREA RURAL","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"52","WESTERN AREA RURAL","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"53","WESTERN AREA URBAN","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"54","WESTERN AREA URBAN","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"55","WESTERN AREA URBAN","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"56","WESTERN AREA URBAN","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"57","BO","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"58","BO","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"59","BO","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"60","BO","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"61","BOMBALI","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"62","BOMBALI","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"63","BOMBALI","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"64","BOMBALI","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"65","BONTHE","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"66","BONTHE","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"67","BONTHE","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"68","BONTHE","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"69","KAILAHUN","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"70","KAILAHUN","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"71","KAILAHUN","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"72","KAILAHUN","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"73","KAMBIA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"74","KAMBIA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"75","KAMBIA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"76","KAMBIA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"77","KENEMA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"78","KENEMA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"79","KENEMA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"80","KENEMA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"81","KOINADUGU","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"82","KOINADUGU","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"83","KOINADUGU","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"84","KOINADUGU","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"85","KONO","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"86","KONO","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"87","KONO","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"88","KONO","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"89","MOYAMBA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"90","MOYAMBA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"91","MOYAMBA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"92","MOYAMBA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"93","PORT LOKO","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"94","PORT LOKO","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"95","PORT LOKO","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"96","PORT LOKO","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"97","PUJEHUN","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"98","PUJEHUN","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"99","PUJEHUN","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"100","PUJEHUN","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"101","TONKOLILI","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"102","TONKOLILI","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"103","TONKOLILI","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"104","TONKOLILI","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"105","WESTERN AREA RURAL","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"106","WESTERN AREA RURAL","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"107","WESTERN AREA RURAL","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"108","WESTERN AREA RURAL","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"109","WESTERN AREA URBAN","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"110","WESTERN AREA URBAN","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"111","WESTERN AREA URBAN","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"112","WESTERN AREA URBAN","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"113","BO","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"114","BO","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"115","BO","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"116","BO","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"117","BOMBALI","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"118","BOMBALI","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"119","BOMBALI","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"120","BOMBALI","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"121","BONTHE","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"122","BONTHE","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"123","BONTHE","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"124","BONTHE","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"125","KAILAHUN","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"126","KAILAHUN","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"127","KAILAHUN","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"128","KAILAHUN","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"129","KAMBIA","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"130","KAMBIA","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"131","KAMBIA","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"132","KAMBIA","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"133","KENEMA","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"134","KENEMA","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"135","KENEMA","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"136","KENEMA","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"137","KOINADUGU","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"138","KOINADUGU","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"139","KOINADUGU","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"140","KOINADUGU","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"141","KONO","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"142","KONO","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"143","KONO","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"144","KONO","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"145","MOYAMBA","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"146","MOYAMBA","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"147","MOYAMBA","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"148","MOYAMBA","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"149","PORT LOKO","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"150","PORT LOKO","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"151","PORT LOKO","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"152","PORT LOKO","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"153","PUJEHUN","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"154","PUJEHUN","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"155","PUJEHUN","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"156","PUJEHUN","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"157","TONKOLILI","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"158","TONKOLILI","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"159","TONKOLILI","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"160","TONKOLILI","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"161","WESTERN AREA RURAL","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"162","WESTERN AREA RURAL","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"163","WESTERN AREA RURAL","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"164","WESTERN AREA RURAL","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"165","WESTERN AREA URBAN","Situation report","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"166","WESTERN AREA URBAN","Situation report","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"167","WESTERN AREA URBAN","Patient database","New","Confirmed","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"168","WESTERN AREA URBAN","Patient database","New","Probable","13 to 19 January 2014 (2014-W03)",NA," 2014-W03 "
"169","BO","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"170","BO","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"171","BO","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"172","BO","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"173","BOMBALI","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"174","BOMBALI","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"175","BOMBALI","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"176","BOMBALI","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"177","BONTHE","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"178","BONTHE","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"179","BONTHE","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"180","BONTHE","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"181","KAILAHUN","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"182","KAILAHUN","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"183","KAILAHUN","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"184","KAILAHUN","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"185","KAMBIA","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"186","KAMBIA","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"187","KAMBIA","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"188","KAMBIA","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"189","KENEMA","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"190","KENEMA","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"191","KENEMA","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"192","KENEMA","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"193","KOINADUGU","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"194","KOINADUGU","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"195","KOINADUGU","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"196","KOINADUGU","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"197","KONO","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"198","KONO","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"199","KONO","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"200","KONO","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"201","MOYAMBA","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"202","MOYAMBA","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"203","MOYAMBA","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"204","MOYAMBA","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"205","PORT LOKO","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"206","PORT LOKO","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"207","PORT LOKO","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"208","PORT LOKO","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"209","PUJEHUN","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"210","PUJEHUN","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"211","PUJEHUN","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"212","PUJEHUN","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"213","TONKOLILI","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"214","TONKOLILI","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"215","TONKOLILI","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"216","TONKOLILI","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"217","WESTERN AREA RURAL","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"218","WESTERN AREA RURAL","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"219","WESTERN AREA RURAL","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"220","WESTERN AREA RURAL","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"221","WESTERN AREA URBAN","Situation report","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"222","WESTERN AREA URBAN","Situation report","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"223","WESTERN AREA URBAN","Patient database","New","Confirmed","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"224","WESTERN AREA URBAN","Patient database","New","Probable","20 to 26 January 2014 (2014-W04)",NA," 2014-W04 "
"225","BO","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"226","BO","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"227","BO","Patient database","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"228","BO","Patient database","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"229","BOMBALI","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"230","BOMBALI","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"231","BOMBALI","Patient database","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"232","BOMBALI","Patient database","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"233","BONTHE","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"234","BONTHE","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"235","BONTHE","Patient database","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"236","BONTHE","Patient database","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"237","KAILAHUN","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"238","KAILAHUN","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"239","KAILAHUN","Patient database","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"240","KAILAHUN","Patient database","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"241","KAMBIA","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"242","KAMBIA","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"243","KAMBIA","Patient database","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"244","KAMBIA","Patient database","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"245","KENEMA","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"246","KENEMA","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"247","KENEMA","Patient database","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"248","KENEMA","Patient database","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"249","KOINADUGU","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"250","KOINADUGU","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"251","KOINADUGU","Patient database","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"252","KOINADUGU","Patient database","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"253","KONO","Situation report","New","Confirmed","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
"254","KONO","Situation report","New","Probable","27 January to 02 February 2014 (2014-W05)",NA," 2014-W05 "
